mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.250171422958374,0.026163844219606772,0.001495043436686198,0.000526040085485263,relu,0.0001,"(50,)",constant,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'max_iter': 500}",0.9720670391061452,0.9832402234636871,0.9776536312849162,0.9776536312849163,0.004561433413004051,1
0.25415833791097003,0.023670524335933595,0.0017312367757161458,0.0006082660693449933,relu,0.0001,"(50,)",adaptive,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'max_iter': 500}",0.9720670391061452,0.9832402234636871,0.9776536312849162,0.9776536312849163,0.004561433413004051,1
0.29447245597839355,0.06444360141577085,0.001154025395711263,0.00038493767235621467,relu,0.0001,"(100,)",constant,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 500}",0.9720670391061452,0.9832402234636871,0.9720670391061452,0.9757914338919926,0.005267089617776884,27
0.24169532457987467,0.02250773754217596,0.0009870529174804688,0.0002298682368920623,relu,0.0001,"(100,)",adaptive,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'max_iter': 500}",0.9720670391061452,0.9832402234636871,0.9720670391061452,0.9757914338919926,0.005267089617776884,27
0.513324499130249,0.05438028199486803,0.00151824951171875,0.00015688027050250424,relu,0.0001,"(100, 50)",constant,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate': 'constant', 'max_iter': 500}",0.9776536312849162,0.9888268156424581,0.9664804469273743,0.9776536312849163,0.009122866826008103,1
0.47582244873046875,0.031706861890207536,0.0014349619547526042,0.00026782634348771584,relu,0.0001,"(100, 50)",adaptive,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate': 'adaptive', 'max_iter': 500}",0.9776536312849162,0.9888268156424581,0.9664804469273743,0.9776536312849163,0.009122866826008103,1
0.5920876661936442,0.09162783273757857,0.0014662742614746094,0.0003822035486522998,relu,0.0001,"(100, 100)",constant,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 500}",0.9776536312849162,0.9832402234636871,0.9664804469273743,0.9757914338919926,0.0069677046308639235,27
0.6263583501180013,0.04996535081318856,0.0021973450978597007,0.0009021661861847135,relu,0.0001,"(100, 100)",adaptive,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 500}",0.9776536312849162,0.9832402234636871,0.9664804469273743,0.9757914338919926,0.0069677046308639235,27
0.5600584348042806,0.06302443248416577,0.0009278456370035807,2.6968597078613666e-05,relu,0.0001,"(150, 100, 50)",constant,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (150, 100, 50), 'learning_rate': 'constant', 'max_iter': 500}",0.9776536312849162,0.9888268156424581,0.9664804469273743,0.9776536312849163,0.009122866826008103,1
0.536837100982666,0.0540026240480163,0.0012749036153157551,0.000318720927447516,relu,0.0001,"(150, 100, 50)",adaptive,500,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (150, 100, 50), 'learning_rate': 'adaptive', 'max_iter': 500}",0.9776536312849162,0.9888268156424581,0.9664804469273743,0.9776536312849163,0.009122866826008103,1
